Date,Unnamed: 3,Score,Unnamed: 5,Venue
19 Aug,Hong Kong,2–3,Iraq,Iran
20 Aug,Iran,3–0,Hong Kong,Iran
21 Aug,Iraq,1–3,Iran,Iran
19 Aug,Japan,3–0,Thailand,Iran
20 Aug,Uzbekistan,0–3,Japan,Iran
21 Aug,Thailand,3–0,Uzbekistan,Iran
19 Aug,Indonesia,2–3,China,Iran
20 Aug,Kazakhstan,1–3,Indonesia,Iran
21 Aug,China,3–2,Kazakhstan,Iran
20 Aug,Bahrain,2–3,Chinese Taipei,Iran
19 Aug,Qatar,3–0,India,Iran
20 Aug,Afghanistan,0–3,Qatar,Iran
21 Aug,India,3–1,Afghanistan,Iran
19 Aug,Bangladesh,0–3,South Korea,Iran
20 Aug,Pakistan,3–0,Bangladesh,Iran
21 Aug,South Korea,3–1,Pakistan,Iran
23 Aug,Uzbekistan,1–3,Kazakhstan,Iran
24 Aug,Hong Kong,0–3,Kazakhstan,Iran
24 Aug,Bangladesh,1–3,Afghanistan,Iran
25 Aug,Hong Kong,1–3,Bangladesh,Iran
25 Aug,Kazakhstan,3–1,Afghanistan,Iran
23 Aug,South Korea,3–2,Indonesia,Iran
23 Aug,Japan,3–0,Bahrain,Iran
23 Aug,Qatar,3–0,Thailand,Iran
23 Aug,China,3–2,India,Iran
23 Aug,Iran,3–0,Pakistan,Iran
23 Aug,Chinese Taipei,3–0,Iraq,Iran
24 Aug,India,0–3,Indonesia,Iran
24 Aug,Iraq,1–3,Thailand,Iran
24 Aug,Chinese Taipei,0–3,Qatar,Iran
24 Aug,China,3–1,South Korea,Iran
25 Aug,Pakistan,3–2,Indonesia,Iran
25 Aug,Bahrain,3–2,Thailand,Iran
25 Aug,Japan,3–1,Qatar,Iran
25 Aug,Iran,3–0,China,Iran
25 Aug,India,3–0,Iraq,Iran
26 Aug,Indonesia,3–0,Thailand,Iran
26 Aug,Pakistan,3–1,Bahrain,Iran
25 Aug,South Korea,3–1,Chinese Taipei,Iran
26 Aug,China,0–3,Qatar,Iran
26 Aug,Iran,0–3,Japan,Iran
