Date,Unnamed: 2,Score,Unnamed: 4,Venue
15 Aug,United States,3–0,Puerto Rico,Mexico
16 Aug,Chile,1–3,United States,Mexico
17 Aug,Puerto Rico,0–3,Chile,Mexico
15 Aug,Brazil,3–0,Dominican Republic,Mexico
16 Aug,Canada,0–3,Brazil,Mexico
17 Aug,Dominican Republic,1–3,Canada,Mexico
15 Aug,Cuba,0–3,Colombia,Mexico
15 Aug,Mexico,3–2,Peru,Mexico
16 Aug,Peru,3–0,Cuba,Mexico
16 Aug,Colombia,0–3,Mexico,Mexico
17 Aug,Colombia,3–0,Peru,Mexico
17 Aug,Mexico,3–1,Cuba,Mexico
18 Aug,Peru,3–2,Puerto Rico,Mexico
18 Aug,Dominican Republic,0–3,Cuba,Mexico
19 Aug,Puerto Rico,3–1,Dominican Republic,Mexico
19 Aug,Peru,3–2,Cuba,Mexico
18 Aug,Colombia,2–3,Chile,Mexico
18 Aug,United States,0–3,Canada,Mexico
20 Aug,Colombia,0–3,United States,Mexico
19 Aug,Brazil,3–0,Chile,Mexico
19 Aug,Mexico,1–3,Canada,Mexico
20 Aug,Chile,3–0,Mexico,Mexico
20 Aug,Brazil,1–3,Canada,Mexico
